"VION 앱 QA 체크리스트 (v2 화면설계서 967:4166 기준, 48개 화면)",,,,,,,,
노란색 칸(결과/비고)은 테스트 진행자가 직접 입력하는 칸입니다. 결과는 드롭다운에서 Pass / Fail / Blocked / 해당없음 중 선택하세요. ★ 10번(리뷰 작성 관련)과 4번(닉네임 불가) 항목 중 디자이너 확인이 필요한 중복 화면 관련 문항이 포함되어 있습니다.,,,,,,,,
No,화면 번호,화면명,테스트 항목,테스트 시나리오 / 확인 내용,구분,우선순위,결과,비고
1,0,스플래시,스플래시 노출 시간,앱 진입 시 스플래시 화면(아이콘+앱 소개 문구)이 전체 화면으로 노출되고 1.5초 후 자동으로 다음 화면(소셜로그인)으로 전환되는지 확인한다.,UI·표시,하,,
2,1,소셜로그인,소셜 로그인 버튼 진입,구글/카카오 로그인 버튼 클릭 시 각 소셜 OAuth 인증 화면으로 정상 진입하는지 확인한다.,정상 플로우,상,,
3,1,소셜로그인,신규 계정 로그인 분기,신규 계정으로 소셜 인증 성공 시 서버가 신규 계정으로 판별하여 '2. 약관 동의 바텀시트' 화면으로 이동하는지 확인한다.,정상 플로우,상,,
4,1,소셜로그인,기존 계정 3가지 분기 검증,"기존 계정 로그인 시 (1)약관 동의 미완료 → 약관 동의 바텀시트, (2)약관 동의 완료+피부 프로필 미등록 → 홈(피부타입 미설정), (3)약관 동의 완료+피부 프로필 등록 → 홈(배너1) 총 3가지 분기가 각각 정확히 이동하는지 확인한다.",정상 플로우,상,,
5,1,소셜로그인,인증 실패/취소 처리,소셜 인증 실패 또는 사용자가 인증을 취소한 경우 에러 메시지 노출 없이 로그인 화면으로 복귀하는지 확인한다.,예외·에러 처리,상,,
6,2,약관 동의 바텀시트,인증완료 안내 및 자동 노출,카카오/구글 인증 완료 시 '카카오 인증이 완료됐어요' 등의 안내 문구가 노출되고 0.5초 후 약관 동의 바텀시트가 자동으로 노출되는지 확인한다.,UI·표시,중,,
7,2,약관 동의 바텀시트,전체 동의 체크박스 연동,"약관 전체 동의 체크박스를 클릭하면 하위 4개 개별 항목이 모두 선택되고, 재클릭 시 전체 해제되는지 확인한다.",정상 플로우,상,,
8,2,약관 동의 바텀시트,개별 항목 상세 이동 및 자동 체크,"각 개별 약관 항목의 '>' 아이콘 클릭 시 해당 상세 화면(3-1~3-4)으로 이동하고, 상세 화면에서 확인 버튼 클릭 시 바텀시트로 복귀하며 해당 체크박스가 자동으로 체크되는지 확인한다.",정상 플로우,상,,
9,2,약관 동의 바텀시트,동의하고 계속하기 버튼 활성화 조건,"4개 필수 항목이 모두 체크되기 전에는 '동의하고 계속하기' 버튼이 비활성화 상태이며, 4개 모두 체크했을 때만 활성화되어 클릭 시 '4. 닉네임 설정' 화면으로 이동하는지 확인한다.",예외·에러 처리,상,,
10,3-1,서비스 이용약관,약관 전문 노출 및 복귀,서비스 이용약관 상세 화면에서 전문이 스크롤 가능하게 노출되고 확인 버튼 클릭 시 바텀시트로 복귀하는지 확인한다.,UI·표시,하,,
11,3-2,개인정보 수집 및 이용 동의,개인정보 수집 항목/목적 노출,"개인정보 수집 및 이용 동의 상세 화면에 수집 목적/항목(소셜 로그인 식별자, 피부타입, 피부고민)/보유기간/동의 거부권 전문이 정확히 노출되는지 확인한다.",UI·표시,중,,
12,3-3,피부 정보 수집 및 이용 동의,민감정보 미수집 안내,피부 정보 수집 및 이용 동의 상세 화면에 진단명 등 의료적 민감정보는 수집하지 않는다는 안내 문구가 포함되어 노출되는지 확인한다.,UI·표시,중,,
13,3-4,만 14세 이상 확인,미성년 가입 제한 안내,만 14세 이상 확인 상세 화면에 만 14세 미만은 법정대리인 동의 없이 가입이 제한된다는 안내가 노출되는지 확인한다.,UI·표시,중,,
14,4,닉네임 설정(가능),기본 자동 닉네임 및 확인버튼 기본 활성화,"닉네임 입력 필드에 회색 예시 텍스트(예: '용감한거북이3764')가 기본 노출된 상태에서 아무 입력도 하지 않아도 확인 버튼이 기본 활성화되어 있고, 클릭 시 해당 자동 닉네임으로 '5. 피부 진단 설정' 화면으로 이동하는지 확인한다.",정상 플로우,상,,
15,4,닉네임 설정(가능),사용 가능 닉네임 성공 표시,사용 가능한 닉네임을 입력하면 입력 필드 우측에 체크 아이콘이 표시되고 테두리가 초록색으로 바뀌며 '지금 설정하신 닉네임은 가능해요' 초록색 메시지가 하단에 노출되는지 확인한다.,정상 플로우,상,,
16,4,닉네임 설정(가능),닉네임 규칙 안내 문구 노출,"입력 필드 하단에 '한글, 영문, 숫자포함 2~10자(특수문자 및 공백 불가)' 안내 문구가 항상 노출되는지 확인한다.",UI·표시,하,,
17,4-A,닉네임 설정(불가) - Case A (중복),닉네임 중복 에러 처리,이미 사용 중인 닉네임을 입력하면 입력 필드 테두리와 체크 아이콘이 #E6745E 색상으로 바뀌고 '이미 사용 중인 닉네임이에요. 다른 닉네임을 입력해주세요' 메시지가 노출되며 확인 버튼이 비활성화되는지 확인한다.,예외·에러 처리,상,,
18,4-B,닉네임 설정(불가) - Case B (형식오류),닉네임 형식 위반 에러 처리,"특수문자/공백을 포함하거나 2~10자 범위를 벗어난 닉네임 입력 시 테두리가 #E6745E로 바뀌고 '닉네임은 한글, 영문, 숫자를 포함한 2~10자로 입력해주세요.(특수문자 및 공백 불가)' 메시지가 노출되며 확인 버튼이 비활성화되는지 확인한다.",예외·에러 처리,상,,
19,4-B,닉네임 설정(불가) - Case B (형식오류),닉네임 길이 경계값 검증,"닉네임을 1자, 10자, 11자로 각각 입력했을 때 2~10자 규칙에 따라 10자는 통과하고 1자·11자는 에러 처리되는지 확인한다.",예외·에러 처리,중,,
